"URI","Title","RecordId","ParentType URI","From Date","To Date","Deity","Denomination","Issuer","Manufacture","Material","Mint","Object Type","Portrait","Region","State","Symbol_obv","Symbol_rev","Obverse Legend","Obverse Type","Reverse Legend","Reverse Type","Obverse Above","Reverse Above","Obverse Below","Reverse Below","Obverse Before","Reverse Before","Obverse Behind","Reverse Behind","Obverse Above or Behind","Obverse Behind or Before","Obverse Below or Behind","Obverse In Field","Reverse In Field","Obverse Left Field","Reverse Left Field","Obverse Right Field","Reverse Right Field","Obverse Exergue","Reverse Exergue","Obverse After Legend","Reverse Above, or Above and Below","Reverse Above, Below, or Both","Reverse Center","Reverse At Base","Date Record Modified"
"http://numismatics.org/crro/id/rrc-290.1","RRC 290/1","rrc-290.1","","-114","-113","Dioscuri","Denarius","C. Fonteius","Struck","Silver","Rome","Coin","","Latium","Roman Republic","Control-mark||X","","","Laureate, Janiform head of Dioscuri. Border of dots.","C·FON͡T ROMA","Ship, left. Border of dots.","","","Control-mark","","","","","","","","","","","Control-mark","","X","","","","","","","","","2025-05-27T04:05:17Z"
"http://numismatics.org/crro/id/rrc-290.2","RRC 290/2","rrc-290.2","","-114","-113","Janus","As","C. Fonteius","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","I","I||Anchor","","Laureate head of Janus.","ROM A C·FON͡T","Prow, right.","I","I","","","","Anchor","","","","","","","","","","","","","","","","","","","2025-05-27T04:05:18Z"
"http://numismatics.org/crro/id/rrc-290.3","RRC 290/3","rrc-290.3","","-114","-113","Saturn","Semis","C. Fonteius","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","S","S","","Laureate head of Saturn, right.","C·FON͡T ROMA","Prow, right.","","","","","","S","S","","","","","","","","","","","","","","","","","","2025-05-27T04:05:18Z"
"http://numismatics.org/crro/id/rrc-290.4","RRC 290/4","rrc-290.4","","-114","-113","Minerva","Triens","C. Fonteius","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","Four pellets","Four pellets","","Helmeted head of Minerva, right.","C·FON͡T ROMA","Prow, right.","Four pellets","","","","","Four pellets","","","","","","","","","","","","","","","","","","","2025-05-27T04:05:18Z"
"http://numismatics.org/crro/id/rrc-290.5","RRC 290/5","rrc-290.5","","-114","-113","Hercules","Quadrans","C. Fonteius","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","Three pellets","Three pellets","","Head of Hercules, right.","C·FON͡T ROMA","Prow, right.","","","","","","Three pellets","Three pellets","","","","","","","","","","","","","","","","","","2025-05-27T04:05:18Z"
"http://numismatics.org/crro/id/rrc-290.6","RRC 290/6","rrc-290.6","","-114","-113","Roma||Mars","Uncia","C. Fonteius","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","One pellet","One pellet","","Helmeted head of Roma, right. Laurel-wreath border.","C·FON͡T ROMA","Mars in quadriga, right, holding shield and spear in left hand and reins in right hand.","","One pellet","","","","","One pellet","","","","","","","","","","","","","","","","","","2025-05-27T04:05:18Z"
"http://numismatics.org/crro/id/rrc-291.1","RRC 291/1","rrc-291.1","","-114","-113","Roma","Denarius","Mn. Aemilius Lepidus","Struck","Silver","Rome","Coin","","Latium","Roman Republic","X","","ROM͡A","Laureate female bust (possibly Roma), right, draped and wearing diadem. Border of dots.","M͡N·AEMILIO L E P","Three arches, on which stands equestrian statue - horseman wears cuirass and wreath and holds spear in right hand. Border of dots.","","","","","","","X","","","","","","","","","","","","","","","","","","2025-05-27T04:05:18Z"
"http://numismatics.org/crro/id/rrc-292.1","RRC 292/1","rrc-292.1","","-113","-112","Roma","Denarius","P. Licinius Nerva","Struck","Silver","Rome","Coin","","Latium","Roman Republic","Crescent||X","","ROMA","Bust of Roma, left, wearing helmet with plume on each side and holding shield in left hand and spear over shoulder in right hand. Border of dots.","P·N͡ERVA","Voting scene. One figure on left of pons receives ballot from attendant below, another figure on right of pons places ballot in cista. At top of coin, bar on which stands tablet bearing letter P. Border of dots.","Crescent","","","","X","","","","","","","","","","","","","","","","","","","","2025-05-27T04:05:19Z"
"http://numismatics.org/crro/id/rrc-292.2","RRC 292/2","rrc-292.2","","-113","-112","Saturn","Semis","P. Licinius Nerva","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","S","Female dancer||S","P·N͡ERVA","Laureate head of Saturn, right.","ROMA","Prow, right.","","Female dancer","","","","S","S","","","","","","","","","","","","","","","","","","2025-05-27T04:05:19Z"
"http://numismatics.org/crro/id/rrc-292.3","RRC 292/3","rrc-292.3","","-113","-112","Minerva","Triens","P. Licinius Nerva","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","Four pellets","Four pellets","P·N͡ERVA","Helmeted head of Minerva, right.","ROMA","Prow, right.","Four pellets","","","","","Four pellets","","","","","","","","","","","","","","","","","","","2025-05-27T04:05:19Z"
"http://numismatics.org/crro/id/rrc-292.4","RRC 292/4","rrc-292.4","","-113","-112","Hercules","Quadrans","P. Licinius Nerva","Struck","Bronze","Rome","Coin","","Latium","Roman Republic","Three pellets","Horse||Three pellets||Bird","P·N͡ERVA","Head of Hercules, right.","","Prow, right.","","Horse||Bird","","","","Three pellets","Three pellets","","","","","","","","","","","","","","","","","","2025-05-27T04:05:19Z"
